"","DOHREGION","EBLADDER","EBONE","EBRAIN","EBREAST","ECOLORECTA","EESOPHAGUS","EKIDNEY","ELARYNX","ELEUKEMIA","ELIVER","ELUNG","EMESOTHELI","ENASAL","ENHL","EORAL","EOTHER","EOVARY","EPANCREAS","EPROSTATE","ESTOMACH","ETESTIS","ETHYROID","ETISSUE","ETOTAL","EUTERUS","HBLADDER","HBONE","HBRAIN","HBREAST","HCOLORECTA","HESOPHAGUS","HKIDNEY","HLARYNX","HLEUKEMIA","HLIVER","HLUNG","HMESOTHELI","HNASAL","HNHL","HORAL","HOVARY","HPANCREAS","HPROSTATE","HSTOMACH","HTESTIS","HTHYROID","HUTERUS","LATITUDE","LONGITUDE","OBLADDER","OBONE","OBRAIN","OBREAST","OCOLORECTA","OESOPHAGUS","OKIDNEY","OLARYNX","OLEUKEMIA","OLIVER","OLUNG","OMESOTHELI","ONASAL","ONHL","OORAL","OOTHER","OOVARY","OPANCREAS","OPROSTATE","OSTOMACH","OTESTIS","OTHYROID","OTOTAL","OUTERUS","TISSUE","TISSUE0","YEAR","AI_TOT","A_TOT","B_TOT","F_TOT","HH_SIZE","HU_OCC","HU_VAC","H_TOT","MU_TOT","M_TOT","NH_TOT","O_TOT","PI_TOT","POP_TOT","POVOVER","POVUNDER","TOT_HSPLUS","TOT_LT_HS","W_TOT","inc_breast","log_offset","obs_inc","pred_cases_breast"
"309","360610114011",2.23522,0.0486497,0.417358,4.76402,3.95465,0.436609,1.18766,0.31208,1.04915,0.580306,5.51896,0.0892014,0.0481155,1.61664,0.729415,5.36002,0.502231,1.13774,6.21426,0.749191,0.0872684,0.809172,0.217929,39.2515,1.18561,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.764502,-73.969692,4,0,0,6,3,1,2,1,1,1,5,0,0,2,0,10,1,0,10,1,0,1,51,1,1,0,2009,0,47,14,470,1.818181818,462,240,41,12,385,814,7,0,855,769,91,714,23,775,1276.5957447,1.5610918496,1.2594405565,5.46160963297458
"310","360610114012",2.10684,0.0358476,0.342732,3.83249,3.69136,0.401717,1.04038,0.27419,0.945578,0.511284,5.08066,0.0845949,0.042033,1.44158,0.627804,4.78654,0.415439,1.07604,5.51633,0.695438,0.0511923,0.543915,0.182082,34.6761,0.949997,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.765177,-73.9713,0,0,1,4,2,0,0,1,0,0,5,0,0,0,0,8,0,2,9,0,0,2,35,0,1,0,2009,0,25,8,295,1.682779456,331,302,29,3,262,528,13,0,557,376,10,351,18,508,1355.9322034,1.3435147225,1.0437078766,4.5758922884302
"311","360610114021",3.02745,0.075464,0.622424,7.5565,5.59483,0.616071,1.74846,0.449984,1.46091,0.854033,8.04801,0.119548,0.0695073,2.35968,1.07208,7.64884,0.795935,1.60364,8.72718,1.04969,0.173098,1.32312,0.319819,57.2399,1.92362,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.763142,-73.966471,2,0,1,6,0,1,2,0,1,1,6,0,1,0,1,15,2,2,8,1,0,1,53,1,1,0,2009,1,80,17,756,1.651105651,814,208,49,18,589,1296,15,2,1345,1030,44,969,0,1212,793.65079365,2.02240812,0.7940183948,9.10843280049276
"312","360610114022",2.52577,0.0585448,0.499154,5.40667,4.56125,0.525163,1.42311,0.380852,1.20808,0.71414,6.4264,0.100192,0.057442,1.9025,0.891568,6.16831,0.575604,1.31421,7.9129,0.870199,0.122978,0.984226,0.25863,46.2414,1.35353,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.76382,-73.96808,0,0,0,10,2,1,0,0,3,0,4,0,0,1,0,12,1,0,7,0,0,1,44,2,0,0,2009,0,62,11,562,1.728618421,608,239,56,22,490,996,13,0,1052,1111,70,984,17,944,1779.3594306,1.6876333765,1.8495672937,6.36722502649005
"313","360610115001",1.01313,0.0598677,0.355975,2.37652,1.90341,0.245419,0.790965,0.207739,0.608148,0.425775,2.47441,0.039093,0.0334894,1.03488,0.571258,3.21361,0.248313,0.491958,4.09804,0.386419,0.352014,0.934323,0.186486,22.5921,0.540908,-1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,40.756568,-73.992129,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,3,0,1,2,0,0,0,13,2,0,0,2009,3,348,59,505,1.619756428,739,133,196,41,758,1067,53,3,1263,773,45,529,167,756,396.03960396,0.8656372328,0.8415666605,2.89168079145941
"314","360610115002",0.671275,0.0529308,0.258196,1.73665,1.27067,0.153549,0.504842,0.126199,0.430189,0.256095,1.71569,0.0266607,0.0227134,0.709541,0.3523,2.2473,0.188113,0.33214,2.35672,0.254741,0.283474,0.665651,0.135244,15.1629,0.412048,-1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,40.757768,-73.994969,0,0,0,0,1,0,1,0,0,2,3,0,0,1,1,5,2,0,2,0,1,0,19,0,0,0,2009,7,230,181,429,1.797777778,450,134,266,34,611,774,95,1,1040,911,950,1282,192,492,0,0.5519579701,0,2.00317431713609
"315","360610116001",0.599497,0.0544407,0.294746,2.27953,1.25397,0.13007,0.469986,0.104904,0.458262,0.223842,1.58032,0.0243048,0.023139,0.722645,0.324406,2.51726,0.253472,0.323029,1.83864,0.248318,0.297169,0.968225,0.153712,15.6652,0.52126,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.763134,-73.955433,3,0,1,3,0,0,2,0,0,0,1,0,0,1,1,3,0,0,2,0,0,2,23,4,0,0,2009,1,310,84,710,1.75957121,653,195,105,44,582,1187,30,0,1292,775,6,682,0,823,422.53521127,0.8239692814,1.3160607669,2.65969240126658
"316","360610116002",1.42564,0.0600062,0.408796,5.00503,2.91491,0.306814,0.971682,0.236124,0.822016,0.462825,4.12126,0.0571725,0.0417734,1.36638,0.622773,4.45838,0.523611,0.815881,4.06349,0.541036,0.197247,1.14209,0.211625,32.0136,1.23702,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.763203,-73.957883,3,2,0,8,2,0,4,0,1,1,1,0,0,0,1,7,1,0,1,0,1,2,37,1,1,0,2009,3,125,18,740,1.599744246,782,108,100,32,511,1151,34,0,1251,1548,44,1270,61,1039,1081.0810811,1.6104434068,1.5983920176,6.12666101468902
"317","360610116003",1.4775,0.0516147,0.385022,4.68315,2.90986,0.335463,1.0422,0.268339,0.7832,0.517842,4.12189,0.0575183,0.0424923,1.36419,0.690617,4.29289,0.474936,0.801817,4.97792,0.554334,0.172044,1.037,0.200932,32.4064,1.16362,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,40.762577,-73.958339,1,0,2,3,2,0,1,0,0,1,1,0,0,0,0,6,0,0,5,0,0,2,26,2,0,0,2009,1,59,63,527,1.342281879,745,298,107,20,473,893,41,0,1000,1099,13,899,80,816,569.25996205,1.5439709604,0.6405944717,6.19315034769987
"318","360610117001",1.30046,0.15004,0.76299,5.81077,3.01547,0.334215,1.29403,0.298719,1.12001,0.6568,3.58803,0.0502546,0.0617041,1.88161,0.957582,6.14944,0.605871,0.730303,5.00501,0.59747,0.831629,2.43597,0.398163,39.2088,1.17223,-1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,40.759818,-74.000073,1,0,0,1,3,0,1,1,0,0,0,0,0,0,2,5,2,0,2,0,0,2,20,0,0,0,2009,16,747,338,1623,1.633754864,2056,1098,560,130,1741,2804,172,1,3364,1353,168,1180,45,1960,61.614294516,1.7597130922,0.1720942319,7.04073622965958
